Sourceip,Destinationip,Sourceport,Destinationport,OS,Flags,Protocol,TTL,Length,Date,Time,Comments
142.250.82.149,192.168.43.6,19305,60819,O,NULL,UDP,116,94,2022/02/08,19:52:21,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,156,2022/02/08,19:52:21,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1217,2022/02/08,19:52:21,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,148,2022/02/08,19:52:21,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1217,2022/02/08,19:52:21,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1217,2022/02/08,19:52:21,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1217,2022/02/08,19:52:21,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1217,2022/02/08,19:52:21,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,151,2022/02/08,19:52:21,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1217,2022/02/08,19:52:21,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1217,2022/02/08,19:52:21,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1217,2022/02/08,19:52:21,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1217,2022/02/08,19:52:21,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1217,2022/02/08,19:52:21,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1217,2022/02/08,19:52:21,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,156,2022/02/08,19:52:21,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1217,2022/02/08,19:52:21,NULL
142.250.82.149,192.168.43.6,19305,60819,O,NULL,UDP,116,90,2022/02/08,19:52:22,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1217,2022/02/08,19:52:22,NULL
192.168.43.6,142.250.82.149,62872,19305,W,NULL,UDP,128,74,2022/02/08,19:52:22,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1217,2022/02/08,19:52:22,NULL
