Sourceip,Destinationip,Sourceport,Destinationport,OS,Flags,Protocol,TTL,Length,Date,Time,Comments
192.168.1.3,77.234.45.65,63431,80,W,PA,TCP,128,334,2022/02/12,10:05:02,[PORT]
77.234.45.65,192.168.1.3,80,63431,O,A,TCP,47,40,2022/02/12,10:05:03,NULL
192.168.1.3,192.168.1.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2022/02/12,10:05:06,NULL
192.168.1.1,192.168.1.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2022/02/12,10:05:06,NULL
192.168.1.3,192.168.1.1,58798,53,W,NULL,UDP,128,76,2022/02/12,10:05:11,NULL
192.168.1.1,192.168.1.3,53,58798,L,NULL,UDP,64,197,2022/02/12,10:05:11,NULL
192.168.1.3,13.89.179.9,51964,443,W,S,TCP,128,52,2022/02/12,10:05:11,[PORT]
13.89.179.9,192.168.1.3,443,51964,O,SA,TCP,104,52,2022/02/12,10:05:11,NULL
192.168.1.3,13.89.179.9,51964,443,W,A,TCP,128,40,2022/02/12,10:05:11,[PORT]
192.168.1.3,13.89.179.9,51964,443,W,PA,TCP,128,237,2022/02/12,10:05:12,[PORT]
13.89.179.9,192.168.1.3,443,51964,O,A,TCP,104,1500,2022/02/12,10:05:12,NULL
13.89.179.9,192.168.1.3,443,51964,O,A,TCP,104,1500,2022/02/12,10:05:12,NULL
13.89.179.9,192.168.1.3,443,51964,O,A,TCP,104,1500,2022/02/12,10:05:12,NULL
13.89.179.9,192.168.1.3,443,51964,O,A,TCP,104,1500,2022/02/12,10:05:12,NULL
13.89.179.9,192.168.1.3,443,51964,O,PA,TCP,104,375,2022/02/12,10:05:12,NULL
192.168.1.3,13.89.179.9,51964,443,W,A,TCP,128,40,2022/02/12,10:05:12,[PORT]
192.168.1.3,13.89.179.9,51964,443,W,PA,TCP,128,198,2022/02/12,10:05:13,[PORT]
13.89.179.9,192.168.1.3,443,51964,O,PA,TCP,104,91,2022/02/12,10:05:13,NULL
192.168.1.3,13.89.179.9,51964,443,W,A,TCP,128,40,2022/02/12,10:05:13,[PORT]
192.168.1.3,13.89.179.9,51964,443,W,A,TCP,128,1480,2022/02/12,10:05:14,[PORT]
192.168.1.3,13.89.179.9,51964,443,W,PA,TCP,128,1416,2022/02/12,10:05:14,[PORT]
13.89.179.9,192.168.1.3,443,51964,O,PA,TCP,104,94,2022/02/12,10:05:15,NULL
192.168.1.3,13.89.179.9,51964,443,W,A,TCP,128,40,2022/02/12,10:05:16,[PORT]
